               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0658,            0.028884,            0.043386,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070236,           0.0033071,           0.0033071
                   1,            0.040957,            0.025283,            0.039481,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039579,            0.005983,            0.005983
                   2,            0.036862,            0.021666,            0.036143,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082614,            0.007999,            0.007999
                   3,            0.033588,            0.017898,            0.032234,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.030147,            0.016898,             0.02972,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.026446,             0.01612,            0.028044,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.024645,            0.015502,            0.025524,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.023911,            0.014494,            0.024907,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                   8,             0.02216,            0.014002,            0.024585,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.019267,            0.013402,            0.022835,             0.80856,             0.66637,             0.75635,             0.65485,           0.0037432,           0.0027514,           0.0077004,             0.00208,             0.00208,             0.00208
